,Reactant,Charge R,Multiplicity R,Product,Charge P,Multiplicity P,X,R1,R2,R3,R4,R5,Potential,canonSMILES
0,N(C)(C)C1=CC=C(C(C)([H])C(OC)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)([H])C(OC)OCOC)C=C1,1,2,O,COC,OC,N(C)(C),C,[H],0.66857386,COCOC(OC)C(C)c1ccc(N(C)C)cc1
1,N(C)(C)C1=CC=C(C([H])([H])C([H])OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])([H])C([H])OCOC)C=C1,1,2,O,COC,[H],N(C)(C),[H],[H],0.69828718,COCOCCc1ccc(N(C)C)cc1
2,N(C)(C)C1=CC=C(C([H])([H])C(C2=CC=CC=C2)OC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])([H])C(C2=CC=CC=C2)OC)C=C1,1,2,O,C,C1=CC=CC=C1,N(C)(C),[H],[H],0.70971538,COC(Cc1ccc(N(C)C)cc1)c1ccccc1
3,N(C)(C)C1=CC=C(C(C)(C)C(C)OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C)C(C)OC)C=C1,1,2,O,C,C,N(C)(C),C,C,0.71191939,COC(C)C(C)(C)c1ccc(N(C)C)cc1
4,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(C)OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(C)OC)C=C1,1,2,O,C,C,N(C)(C),C1=CC=CC=C1,C,0.71542948,COC(C)C(C)(c1ccccc1)c1ccc(N(C)C)cc1
5,N(C)(C)C1=CC=C(C(C)(C)C([H])OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C)C([H])OC)C=C1,1,2,O,C,[H],N(C)(C),C,C,0.72789166,COCC(C)(C)c1ccc(N(C)C)cc1
6,N(C)(C)C1=CC=C(C(C)(C2=CC=CC=C2)C(C)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C2=CC=CC=C2)C(C)OCOC)C=C1,1,2,O,COC,C,N(C)(C),C,C1=CC=CC=C1,0.72802771,COCOC(C)C(C)(c1ccccc1)c1ccc(N(C)C)cc1
7,N(C)(C)C1=CC=C(C(C)(C)C(C2=CC=CC=C2)OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C)C(C2=CC=CC=C2)OC)C=C1,1,2,O,C,C1=CC=CC=C1,N(C)(C),C,C,0.72824539,COC(c1ccccc1)C(C)(C)c1ccc(N(C)C)cc1
8,N(C)(C)C1=CC=C(C(C)([H])C(C2=CC=CC=C2)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)([H])C(C2=CC=CC=C2)OCOC)C=C1,1,2,O,COC,C1=CC=CC=C1,N(C)(C),C,[H],0.72966031,COCOC(c1ccccc1)C(C)c1ccc(N(C)C)cc1
9,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(OC)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(OC)OCOC)C=C1,1,2,O,COC,OC,N(C)(C),C1=CC=CC=C1,C,0.73197316,COCOC(OC)C(C)(c1ccccc1)c1ccc(N(C)C)cc1
10,N(C)(C)C1=CC=C(C(C)(C)C(OC)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C)C(OC)OCOC)C=C1,1,2,O,COC,OC,N(C)(C),C,C,0.73376902,COCOC(OC)C(C)(C)c1ccc(N(C)C)cc1
11,N(C)(C)C1=CC=C(C([H])(C)C(C2=CC=CC=C2)OC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C)C(C2=CC=CC=C2)OC)C=C1,1,2,O,C,C1=CC=CC=C1,N(C)(C),[H],C,0.73458532,COC(c1ccccc1)C(C)c1ccc(N(C)C)cc1
12,N(C)(C)C1=CC=C(C(C)([H])C(C)OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)([H])C(C)OC)C=C1,1,2,O,C,C,N(C)(C),C,[H],0.73629955,COC(C)C(C)c1ccc(N(C)C)cc1
15,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(C3=CC=CC=C3)OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(C3=CC=CC=C3)OC)C=C1,1,2,O,C,C1=CC=CC=C1,N(C)(C),C1=CC=CC=C1,C,0.73945591,COC(c1ccccc1)C(C)(c1ccccc1)c1ccc(N(C)C)cc1
16,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)([H])C(C)OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)([H])C(C)OC)C=C1,1,2,O,C,C,N(C)(C),C1=CC=CC=C1,[H],0.74040826,COC(C)C(c1ccccc1)c1ccc(N(C)C)cc1
18,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(C)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(C)OCOC)C=C1,1,2,O,COC,C,N(C)(C),[H],C1=CC=CC=C1,0.7410613,COCOC(C)C(c1ccccc1)c1ccc(N(C)C)cc1
19,N(C)(C)C1=CC=C(C(C)(C2=CC=CC=C2)C([H])OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C2=CC=CC=C2)C([H])OCOC)C=C1,1,2,O,COC,[H],N(C)(C),C,C1=CC=CC=C1,0.7418776,COCOCC(C)(c1ccccc1)c1ccc(N(C)C)cc1
